"f(x) = (x^4) - 3x"


x,f(x)
-3.1416,106.834802176508
-3.0416,94.7119171303899
-2.9416,83.6993917514715
-2.8416,73.7254276397531
-2.7416,64.7206263952347
-2.6416,56.6179896179163
-2.5416,49.3529189077979
-2.4416,42.8632158648795
-2.3416,37.0890820891611
-2.2416,31.9731191806427
-2.1416,27.4603287393243
-2.0416,23.4981123652059
-1.9416,20.0362716582875
-1.8416,17.0270082185691
-1.7416,14.4249236460507
-1.6416,12.1870195407323
-1.5416,10.2726975026139
-1.4416,8.64375913169551
-1.3416,7.26440602797711
-1.2416,6.10123979145871
-1.1416,5.12326202214031
-1.0416,4.30187432002191
-0.9416,3.61087828510351
-0.8416,3.02647551738511
-0.7416,2.52726761686671
-0.6416,2.09425618354831
-0.5416,1.71084281742991
-0.4416,1.36282911851151
-0.3416,1.03841668679311
-0.2416,0.728207122274712
-0.1416,0.425202024956313
-0.0416,0.124802994837913
0.0584,-0.175188368080487
0.1584,-0.474570463798887
0.2584,-0.770741692317288
0.3584,-1.05870045363569
0.4584,-1.33104514775409
0.5584,-1.57797417467249
0.6584,-1.78728593439089
0.7584,-1.94437882690929
0.8584,-2.03225125222769
0.9584,-2.03150161034609
1.0584,-1.92032830126449
1.1584,-1.67452972498289
1.2584,-1.26750428150128
1.3584,-0.670250370819686
1.4584,0.148633607061919
1.5584,1.22294925214352
1.6584,2.58889816442512
1.7584,4.28508194390672
1.8584,6.35250219058831
1.9584,8.83456050446993
2.0584,11.7770584855515
2.1584,15.2281977338331
2.2584,19.2385798493147
2.3584,23.8612064319963
2.4584,29.151479081878
2.5584,35.1671993989595
2.6584,41.9685689832412
2.7584,49.6181894347228
2.8584,58.1810623534043
2.9584,67.724589339286
3.0584,78.3185719923675
3.1416,87.9852021765083
